W = 0.008,W = -0.008,W = -0.0002,W = 0.0002,W = 0.0
0.301378,0.296874,0.298792,0.298905,0.298848
0.300846,0.296351,0.298265,0.298378,0.298322
0.300316,0.295829,0.29774,0.297853,0.297796
0.299788,0.295309,0.297217,0.297329,0.297273
0.299261,0.29479,0.296695,0.296807,0.296751
0.298736,0.294272,0.296175,0.296287,0.296231
0.298212,0.293757,0.295656,0.295768,0.295712
0.29769,0.293242,0.295139,0.29525,0.295194
0.297169,0.29273,0.294623,0.294734,0.294678
0.29665,0.292218,0.294109,0.29422,0.294164
0.296133,0.291709,0.293596,0.293707,0.293651
0.295617,0.291201,0.293085,0.293196,0.29314
0.295102,0.290694,0.292575,0.292686,0.29263
0.294589,0.290189,0.292067,0.292177,0.292122
0.294078,0.289685,0.291561,0.291671,0.291615
0.293568,0.289183,0.291056,0.291165,0.29111
0.293059,0.288682,0.290552,0.290661,0.290606
0.292552,0.288183,0.29005,0.290159,0.290104
0.292047,0.287685,0.289549,0.289658,0.289603
0.291543,0.287189,0.28905,0.289159,0.289104
0.29104,0.286694,0.288552,0.288661,0.288606
0.290539,0.2862,0.288055,0.288164,0.28811
0.290039,0.285708,0.28756,0.287669,0.287614
0.289541,0.285218,0.287067,0.287175,0.287121
0.289044,0.284729,0.286575,0.286683,0.286629
0.288549,0.284241,0.286084,0.286192,0.286138
0.288055,0.283755,0.285595,0.285703,0.285649
0.287563,0.28327,0.285107,0.285215,0.285161
0.287072,0.282786,0.284621,0.284728,0.284674
0.286582,0.282304,0.284136,0.284243,0.284189
0.286094,0.281823,0.283652,0.283759,0.283705
0.285607,0.281344,0.28317,0.283277,0.283223
0.285122,0.280866,0.282689,0.282796,0.282742
0.284638,0.280389,0.28221,0.282316,0.282263
0.284155,0.279914,0.281732,0.281838,0.281784
0.283674,0.27944,0.281255,0.281361,0.281308
0.283194,0.278968,0.280779,0.280885,0.280832
0.282715,0.278496,0.280305,0.280411,0.280358
0.282238,0.278027,0.279833,0.279938,0.279885
0.281762,0.277558,0.279361,0.279467,0.279414
0.281288,0.277091,0.278891,0.278996,0.278944
0.280815,0.276625,0.278423,0.278528,0.278475
0.280343,0.276161,0.277956,0.27806,0.278008
0.279873,0.275697,0.27749,0.277594,0.277542
0.279404,0.275235,0.277025,0.277129,0.277077
0.278936,0.274775,0.276561,0.276666,0.276613
0.27847,0.274316,0.276099,0.276203,0.276151
0.278004,0.273857,0.275639,0.275742,0.27569
0.277541,0.273401,0.275179,0.275283,0.275231
0.277078,0.272945,0.274721,0.274824,0.274772
0.276617,0.272491,0.274264,0.274367,0.274315
0.276157,0.272038,0.273808,0.273911,0.27386
0.275698,0.271587,0.273354,0.273457,0.273405
0.275241,0.271136,0.272901,0.273004,0.272952
